2026/09/16 16:40:39.818, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.81 W
2026/09/16 16:40:40.318, NVIDIA L40S, 580.173.02, 1681 MiB, 13 %, 101.55 W
2026/09/16 16:40:40.818, NVIDIA L40S, 580.173.02, 1681 MiB, 13 %, 105.08 W
2026/09/16 16:40:41.318, NVIDIA L40S, 580.173.02, 1681 MiB, 13 %, 105.90 W
2026/09/16 16:40:41.819, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 105.94 W
2026/09/16 16:40:42.319, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 102.71 W
2026/09/16 16:40:42.819, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.50 W
2026/09/16 16:40:43.319, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.50 W
2026/09/16 16:40:43.819, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 100.89 W
2026/09/16 16:40:44.319, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 102.63 W
2026/09/16 16:40:44.820, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 106.17 W
2026/09/16 16:40:45.320, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 106.35 W
2026/09/16 16:40:45.820, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 104.57 W
2026/09/16 16:40:46.320, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 101.02 W
2026/09/16 16:40:46.820, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.65 W
2026/09/16 16:40:47.320, NVIDIA L40S, 580.173.02, 1681 MiB, 3 %, 99.54 W
2026/09/16 16:40:47.821, NVIDIA L40S, 580.173.02, 1681 MiB, 4 %, 100.12 W
2026/09/16 16:40:48.321, NVIDIA L40S, 580.173.02, 1681 MiB, 3 %, 100.78 W
2026/09/16 16:40:48.821, NVIDIA L40S, 580.173.02, 1681 MiB, 5 %, 100.97 W
2026/09/16 16:40:49.321, NVIDIA L40S, 580.173.02, 1681 MiB, 4 %, 101.26 W
2026/09/16 16:40:49.821, NVIDIA L40S, 580.173.02, 1681 MiB, 4 %, 101.45 W
2026/09/16 16:40:50.321, NVIDIA L40S, 580.173.02, 1681 MiB, 5 %, 101.57 W
2026/09/16 16:40:50.822, NVIDIA L40S, 580.173.02, 1681 MiB, 4 %, 101.25 W
2026/09/16 16:40:51.322, NVIDIA L40S, 580.173.02, 1681 MiB, 4 %, 100.88 W
2026/09/16 16:40:51.822, NVIDIA L40S, 580.173.02, 1681 MiB, 3 %, 101.07 W
2026/09/16 16:40:52.322, NVIDIA L40S, 580.173.02, 1681 MiB, 5 %, 101.36 W
2026/09/16 16:40:52.822, NVIDIA L40S, 580.173.02, 1681 MiB, 5 %, 101.35 W
2026/09/16 16:40:53.322, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 102.42 W
2026/09/16 16:40:53.823, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 101.08 W
2026/09/16 16:40:54.323, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.60 W
2026/09/16 16:40:54.823, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.83 W
2026/09/16 16:40:55.323, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.83 W
2026/09/16 16:40:55.823, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.83 W
2026/09/16 16:40:56.323, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:56.824, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:57.324, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:57.824, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:40:58.324, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 101.03 W
2026/09/16 16:40:58.824, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 101.43 W
2026/09/16 16:40:59.324, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 100.82 W
2026/09/16 16:40:59.825, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.57 W
2026/09/16 16:41:00.325, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.57 W
2026/09/16 16:41:00.825, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:01.325, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:01.825, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:02.325, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:02.826, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:03.326, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:03.826, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:04.326, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:04.826, NVIDIA L40S, 580.173.02, 1681 MiB, 13 %, 101.35 W
2026/09/16 16:41:05.326, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 105.68 W
2026/09/16 16:41:05.826, NVIDIA L40S, 580.173.02, 1681 MiB, 13 %, 105.72 W
2026/09/16 16:41:06.327, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 102.36 W
2026/09/16 16:41:06.827, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.64 W
2026/09/16 16:41:07.327, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.64 W
2026/09/16 16:41:07.827, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:08.327, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:08.827, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
